"REF_DATE","VALUE","IR_lag1","IR_lag2"
"1986-03-01",38.6,11.84,10.33
"1986-04-01",38.9,10.44,11.84
"1986-05-01",39,9.27,10.44
"1986-06-01",39.1,8.43,9.27
"1986-07-01",39.4,8.84,8.43
"1986-08-01",39.8,8.63,8.84
"1986-09-01",40.4,8.58,8.63
"1986-10-01",40.9,8.63,8.58
"1986-11-01",41.5,8.62,8.63
"1986-12-01",41.9,8.47,8.62
"1987-01-01",42.5,8.49,8.47
"1987-02-01",43,7.74,8.49
"1987-03-01",44,7.59,7.74
"1987-04-01",44.6,7.14,7.59
"1987-05-01",45.2,8.26,7.14
"1987-06-01",45.5,8.54,8.26
"1987-07-01",45.7,8.59,8.54
"1987-08-01",46.6,8.76,8.59
"1987-09-01",47.2,9.24,8.76
"1987-10-01",47.5,9.57,9.24
"1987-11-01",47.8,8.26,9.57
"1987-12-01",48.1,8.48,8.26
"1988-01-01",48.6,8.66,8.48
"1988-02-01",48.9,8.63,8.66
"1988-03-01",49.4,8.58,8.63
"1988-04-01",49.6,8.78,8.58
"1988-05-01",50,9.06,8.78
"1988-06-01",50,9.12,9.06
"1988-07-01",50.1,9.44,9.12
"1988-08-01",50.3,9.53,9.44
"1988-09-01",50.5,10.03,9.53
"1988-10-01",50.7,10.54,10.03
"1988-11-01",50.8,10.51,10.54
"1988-12-01",50.9,10.84,10.51
"1989-01-01",50.9,11.17,10.84
"1989-02-01",50.9,11.54,11.17
"1989-03-01",51.1,11.7,11.54
"1989-04-01",51.3,12.4,11.7
"1989-05-01",51.7,12.61,12.4
"1989-06-01",51.7,12.4,12.61
"1989-07-01",51.7,12.31,12.4
"1989-08-01",51.9,12.32,12.31
"1989-09-01",52,12.4,12.32
"1989-10-01",52.1,12.47,12.4
"1989-11-01",52.3,12.43,12.47
"1989-12-01",52.4,12.47,12.43
"1990-01-01",52.5,12.47,12.47
"1990-02-01",52.7,12.29,12.47
"1990-03-01",52.8,13.25,12.29
"1990-04-01",52.9,13.38,13.25
"1990-05-01",53,13.77,13.38
"1990-06-01",53.1,14.05,13.77
"1990-07-01",53.1,13.9,14.05
"1990-08-01",53.2,13.59,13.9
"1990-09-01",53.4,13.01,13.59
"1990-10-01",53.4,12.61,13.01
"1990-11-01",53.4,12.66,12.61
"1990-12-01",53.4,12.25,12.66
"1991-01-01",53.1,11.78,12.25
"1991-02-01",53.2,10.88,11.78
"1991-03-01",53.8,10.02,10.88
"1991-04-01",53.3,9.92,10.02
"1991-05-01",53.4,9.66,9.92
"1991-06-01",53.4,9.07,9.66
"1991-07-01",53.4,8.91,9.07
"1991-08-01",53.3,8.94,8.91
"1991-09-01",53.5,8.8,8.94
"1991-10-01",53.6,8.68,8.8
"1991-11-01",53.5,8.17,8.68
"1991-12-01",53.5,7.69,8.17
"1992-01-01",53.4,7.67,7.69
"1992-02-01",53.4,7.08,7.67
"1992-03-01",53.5,7.56,7.08
"1992-04-01",53.5,7.65,7.56
"1992-05-01",53.5,6.85,7.65
"1992-06-01",53.5,6.5,6.85
"1992-07-01",53.4,5.91,6.5
"1992-08-01",53.4,5.5,5.91
"1992-09-01",53.5,5.11,5.5
"1992-10-01",53.5,5.69,5.11
"1992-11-01",53.5,7.37,5.69
