"REF_DATE","VALUE","IR_lag1","IR_lag2"
"1996-04-01",55.7,5.25,5.5
"1996-05-01",55.4,5,5.25
"1996-06-01",55.4,5,5
"1996-07-01",55.4,5,5
"1996-08-01",55.3,4.75,5
"1996-09-01",55.6,4.25,4.75
"1996-10-01",55.6,4.25,4.25
"1996-11-01",55.4,3.5,4.25
"1996-12-01",55.4,3.25,3.5
"1997-01-01",55.4,3.25,3.25
"1997-02-01",55.6,3.25,3.25
"1997-03-01",55.6,3.25,3.25
"1997-04-01",55.4,3.25,3.25
"1997-05-01",55.2,3.25,3.25
"1997-06-01",55.2,3.25,3.25
"1997-07-01",55.2,3.25,3.25
"1997-08-01",55.3,3.5,3.25
"1997-09-01",55.3,3.5,3.5
"1997-10-01",55.7,3.5,3.5
"1997-11-01",55.8,3.75,3.5
"1997-12-01",55.8,4,3.75
"1998-01-01",55.8,4.5,4
"1998-02-01",55.8,4.5,4.5
"1998-03-01",55.8,5,4.5
"1998-04-01",55.8,5,5
"1998-05-01",55.8,5,5
"1998-06-01",55.9,5,5
"1998-07-01",55.9,5,5
"1998-08-01",55.9,5,5
"1998-09-01",55.6,5,5
"1998-10-01",55.6,5.75,5
"1998-11-01",55.7,5.5,5.75
"1998-12-01",55.7,5.25,5.5
"1999-01-01",56,5.25,5.25
"1999-02-01",56.4,5.25,5.25
"1999-03-01",56.7,5.25,5.25
"1999-04-01",56.7,5,5.25
"1999-05-01",56.8,5,5
"1999-06-01",56.8,4.75,5
"1999-07-01",56.8,4.75,4.75
"1999-08-01",56.8,4.75,4.75
"1999-09-01",56.9,4.75,4.75
"1999-10-01",56.9,4.75,4.75
"1999-11-01",57,4.75,4.75
"1999-12-01",57,5,4.75
"2000-01-01",57.8,5,5
"2000-02-01",57.8,5,5
"2000-03-01",57.8,5.25,5
"2000-04-01",57.8,5.5,5.25
"2000-05-01",57.9,5.5,5.5
"2000-06-01",57.9,6,5.5
"2000-07-01",57.9,6,6
"2000-08-01",58,6,6
"2000-09-01",58,6,6
"2000-10-01",58,6,6
"2000-11-01",58.2,6,6
"2000-12-01",58.2,6,6
"2001-01-01",58.6,6,6
"2001-02-01",59,5.75,6
"2001-03-01",59,5.75,5.75
"2001-04-01",59,5.25,5.75
"2001-05-01",59,5,5.25
"2001-06-01",59.8,4.75,5
"2001-07-01",59.8,4.75,4.75
"2001-08-01",59.7,4.5,4.75
"2001-09-01",59.9,4.25,4.5
"2001-10-01",59.6,3.75,4.25
"2001-11-01",59.6,3,3.75
"2001-12-01",59.6,2.5,3
"2002-01-01",60,2.5,2.5
"2002-02-01",60.4,2.25,2.5
"2002-03-01",60.6,2.25,2.25
"2002-04-01",61,2.25,2.25
"2002-05-01",61.3,2.5,2.25
"2002-06-01",61.5,2.5,2.5
"2002-07-01",61.5,2.75,2.5
"2002-08-01",62.3,3,2.75
"2002-09-01",62.7,3,3
"2002-10-01",63.5,3,3
"2002-11-01",64.3,3,3
"2002-12-01",64.3,3,3
"2003-01-01",65.1,3,3
"2003-02-01",66.1,3,3
"2003-03-01",66.2,3,3
"2003-04-01",66.9,3.25,3
"2003-05-01",67,3.5,3.25
"2003-06-01",67,3.5,3.5
"2003-07-01",67,3.5,3.5
"2003-08-01",68.1,3.25,3.5
"2003-09-01",69,3.25,3.25
"2003-10-01",69.1,3,3.25
"2003-11-01",70,3,3
"2003-12-01",70,3,3
"2004-01-01",70.4,3,3
"2004-02-01",70.5,2.75,3
"2004-03-01",70.8,2.75,2.75
"2004-04-01",71.3,2.5,2.75
"2004-05-01",71.8,2.25,2.5
"2004-06-01",71.8,2.25,2.25
"2004-07-01",71.8,2.25,2.25
"2004-08-01",72.2,2.25,2.25
"2004-09-01",72.2,2.25,2.25
"2004-10-01",72.4,2.5,2.25
"2004-11-01",72.8,2.75,2.5
"2004-12-01",72.8,2.75,2.75
"2005-01-01",73.1,2.75,2.75
"2005-02-01",73.5,2.75,2.75
"2005-03-01",73.5,2.75,2.75
"2005-04-01",73.9,2.75,2.75
"2005-05-01",74.2,2.75,2.75
"2005-06-01",74.2,2.75,2.75
"2005-07-01",74.2,2.75,2.75
"2005-08-01",75.8,2.75,2.75
"2005-09-01",75.8,2.75,2.75
"2005-10-01",76.2,3,2.75
"2005-11-01",76.8,3.25,3
"2005-12-01",76.8,3.25,3.25
"2006-01-01",77.2,3.5,3.25
"2006-02-01",78.4,3.75,3.5
"2006-03-01",78.4,3.75,3.75
"2006-04-01",78.4,4,3.75
"2006-05-01",78.8,4.25,4
"2006-06-01",79.1,4.5,4.25
"2006-07-01",79.1,4.5,4.5
"2006-08-01",79.1,4.5,4.5
"2006-09-01",79.1,4.5,4.5
"2006-10-01",79.2,4.5,4.5
"2006-11-01",79.2,4.5,4.5
"2006-12-01",79.2,4.5,4.5
"2007-01-01",79.2,4.5,4.5
"2007-02-01",81.3,4.5,4.5
"2007-03-01",81.4,4.5,4.5
"2007-04-01",81.4,4.5,4.5
"2007-05-01",81.5,4.5,4.5
"2007-06-01",81.5,4.5,4.5
"2007-07-01",81.5,4.5,4.5
"2007-08-01",82.1,4.75,4.5
"2007-09-01",82.1,4.75,4.75
"2007-10-01",82.3,4.75,4.75
"2007-11-01",83.9,4.75,4.75
"2007-12-01",83.9,4.75,4.75
"2008-01-01",84.1,4.5,4.75
"2008-02-01",84.5,4.25,4.5
"2008-03-01",84.5,4.25,4.25
"2008-04-01",85.4,3.75,4.25
"2008-05-01",85.7,3.25,3.75
"2008-06-01",85.9,3.25,3.25
"2008-07-01",85.9,3.25,3.25
"2008-08-01",87.1,3.25,3.25
"2008-09-01",87.1,3.25,3.25
"2008-10-01",87.1,3.25,3.25
"2008-11-01",88.4,2.5,3.25
"2008-12-01",88.4,2.5,2.5
"2009-01-01",88.9,1.75,2.5
"2009-02-01",91.3,1.25,1.75
"2009-03-01",91.4,1.25,1.25
"2009-04-01",91.4,0.75,1.25
"2009-05-01",91.8,0.5,0.75
"2009-06-01",91.8,0.5,0.5
"2009-07-01",91.8,0.5,0.5
"2009-08-01",92.6,0.5,0.5
"2009-09-01",92.6,0.5,0.5
"2009-10-01",93.7,0.5,0.5
"2009-11-01",94.5,0.5,0.5
"2009-12-01",94.5,0.5,0.5
"2010-01-01",94.5,0.5,0.5
"2010-02-01",94.5,0.5,0.5
"2010-03-01",94.5,0.5,0.5
"2010-04-01",94.7,0.5,0.5
"2010-05-01",95.3,0.5,0.5
"2010-06-01",95.4,0.5,0.5
"2010-07-01",95.4,0.75,0.5
"2010-08-01",95.4,1,0.75
"2010-09-01",95.3,1,1
"2010-10-01",95.6,1.25,1
"2010-11-01",95.9,1.25,1.25
"2010-12-01",95.5,1.25,1.25
"2011-01-01",96,1.25,1.25
"2011-02-01",96.6,1.25,1.25
"2011-03-01",96,1.25,1.25
"2011-04-01",96,1.25,1.25
"2011-05-01",96,1.25,1.25
"2011-06-01",96.3,1.25,1.25
"2011-07-01",96.3,1.25,1.25
"2011-08-01",96.6,1.25,1.25
"2011-09-01",96.7,1.25,1.25
"2011-10-01",96.8,1.25,1.25
"2011-11-01",97.4,1.25,1.25
"2011-12-01",97.6,1.25,1.25
"2012-01-01",97.7,1.25,1.25
"2012-02-01",98.4,1.25,1.25
"2012-03-01",98.9,1.25,1.25
"2012-04-01",99,1.25,1.25
"2012-05-01",99.1,1.25,1.25
